Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap;Cumulative Score;Stage Rank;Cut Line;Cut Basis;Overall Cumulative Score
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Clément Perrin;38995;;1;251;0;438;7;344;overall_total;438
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Daniel Börding;7591;;1;214;0;418;13;344;overall_total;418
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Daniel Hellmich;7314;;1;185;0;376;48;344;overall_total;376
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Daniel Horbas;7341;;1;148;0;304;111;344;overall_total;304
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Daniel Krückel;38933;;1;178;0;324;99;344;overall_total;324
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Dennis Jehle;38954;;1;222;0;384;38;344;overall_total;384
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Dirk Billerbeck;10797;;1;140;0;254;118;344;overall_total;254
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Dirk Kirschke;16876;;1;163;0;327;96;344;overall_total;327
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Eberhard Rietz;25631;;1;180;0;424;10;344;overall_total;424
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Eduard Bolender;25408;;1;183;0;361;60;344;overall_total;361
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Enrico Blättermann;38216;;1;170;0;338;86;344;overall_total;338
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Erwin Meys;38813;;1;147;0;314;105;344;overall_total;314
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Erwin Schmidle;38480;;1;191;0;365;55;344;overall_total;365
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Ewald Kral;7309;;1;169;0;350;71;344;overall_total;350
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Florian Hanauer;38001;;1;162;0;352;68;344;overall_total;352
