1;10;11;12;13;14;15;16;17;18;19;20;21;22;23;3;4;5;6;7;8;9;batch_id;created_by;currency;date_created;date_updated;form_id;gpnf_entry_nested_form_field;gpnf_entry_parent;gpnf_entry_parent_form;gv_revision_changed;gv_revision_date;gv_revision_date_gmt;gv_revision_parent_id;gv_revision_user_id;id;ingested_at_utc;ip;is_approved;is_fulfilled;is_read;is_starred;payment_amount;payment_date;payment_method;payment_status;post_id;source_date_updated;source_entry_id;source_form_id;source_id;source_url;status;submission_speeds;transaction_id;transaction_type;user_agent
38113;177;208;12;191;178;164;174;2155;;;;;;;Alberto Salazar;171;140;179;166;203;204;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37398;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37398;124;;;active;;;;GravityView Import
16325;159;163;12;193;127;188;166;2152;;;;;;;Olaf Krebs;170;223;203;177;190;193;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37399;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37399;124;;;active;;;;GravityView Import
38652;181;150;12;173;160;136;162;2151;;;;;;;Carlo Luft;233;171;200;190;203;192;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37400;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37400;124;;;active;;;;GravityView Import
38216;164;170;12;192;192;151;153;2150;;;;;;;Enrico Blättermann;168;230;157;204;181;188;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37401;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37401;124;;;active;;;;GravityView Import
25297;172;188;12;195;176;159;181;2147;;;;;;;Peter van Lengen;161;189;173;199;165;189;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37402;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37402;124;;;active;;;;GravityView Import
16002;214;147;12;174;164;145;154;2129;;;;;;;Sahin Köse;166;245;172;190;177;181;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37403;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37403;124;;;active;;;;GravityView Import
38912;182;177;12;190;163;149;185;2106;;;;;;;Raiko Elze;201;162;176;189;168;164;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37404;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37404;124;;;active;;;;GravityView Import
38186;191;171;12;167;160;165;156;2103;;;;;;;Konrad Schiller;224;180;204;198;138;149;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37405;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37405;124;;;active;;;;GravityView Import
16807;201;194;12;174;156;177;192;2096;;;;;;;Joachim Geist;154;212;141;146;163;186;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37406;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37406;124;;;active;;;;GravityView Import
38305;171;157;12;172;213;211;136;2096;;;;;;;Andreas Hölzl;169;136;152;204;194;181;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37407;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37407;124;;;active;;;;GravityView Import
